From src:'1'	To src:'2'
CHEMBL1565322	DB20323
CHEMBL2104172	DB20065
CHEMBL2105413	DB21361
CHEMBL2107801	DB19722
CHEMBL2106778	DB21020
CHEMBL2105444	DB20935
CHEMBL130968	DB20440
CHEMBL164840	DB21326
CHEMBL2110610	DB20193
CHEMBL339133	DB21175
CHEMBL2104851	DB21398
CHEMBL5093566	DB21457
CHEMBL5187755	DB21733
CHEMBL5314517	DB21637
CHEMBL135191	DB21402
CHEMBL482408	DB23609
CHEMBL574011	DB20539
CHEMBL2105336	DB19505
CHEMBL298194	DB21243
CHEMBL5095102	DB21584
CHEMBL2111122	DB20709
CHEMBL5089410	DB21552
CHEMBL6068038	DB21531
CHEMBL6068427	DB21676
CHEMBL2107460	DB20741
CHEMBL5315047	DB21579
CHEMBL1487672	DB21408
CHEMBL2107644	DB19619
CHEMBL2107170	DB20349
CHEMBL2110858	DB19739
CHEMBL2105130	DB20210
CHEMBL2111143	DB21129
CHEMBL2105091	DB19988
CHEMBL2106832	DB20629
CHEMBL2105074	DB19561
CHEMBL2105919	DB21057
CHEMBL2107392	DB20056
CHEMBL2106717	DB20003
CHEMBL2105363	DB19459
CHEMBL2106172	DB21392
CHEMBL2106776	DB19902
CHEMBL2104180	DB21216
CHEMBL2106856	DB20836
CHEMBL1908320	DB20393
CHEMBL2104301	DB20897
CHEMBL2104844	DB19625
CHEMBL2104755	DB21379
CHEMBL2106549	DB21088
CHEMBL2106088	DB20874
CHEMBL2105086	DB21309
CHEMBL2106784	DB19512
CHEMBL3989574	DB21001
CHEMBL2104875	DB21371
CHEMBL2104852	DB21312
CHEMBL2105407	DB20927
CHEMBL2107628	DB20580
CHEMBL2105049	DB19593
CHEMBL2105442	DB19796
CHEMBL2110677	DB20742
CHEMBL2105439	DB20793
CHEMBL2111037	DB20337
CHEMBL110317	DB20978
CHEMBL2105538	DB19926
CHEMBL5314447	DB21567
CHEMBL6068057	DB21714
CHEMBL4067549	DB21595
CHEMBL2104951	DB21077
CHEMBL4300945	DB20944
CHEMBL2110813	DB21218
CHEMBL2106321	DB20330
CHEMBL2107160	DB19649
CHEMBL328628	DB20357
CHEMBL4209441	DB21626
CHEMBL5980221	DB21726
CHEMBL4298152	DB20914
CHEMBL6068071	DB21707
CHEMBL2107677	DB20674
CHEMBL3833350	DB08938
CHEMBL1789400	DB16340
CHEMBL2106049	DB09278
CHEMBL2106049	DB11980
CHEMBL4297413	DB12477
CHEMBL2104164	DB09254
CHEMBL17329	DB16769
CHEMBL121291	DB04394
CHEMBL498416	DB02070
CHEMBL48449	DB12328
CHEMBL105318	DB06198
CHEMBL4297338	DB14913
CHEMBL1200862	DB00765
CHEMBL23838	DB13495
CHEMBL79512	DB04311
CHEMBL170988	DB00914
CHEMBL1161861	DB02098
CHEMBL449062	DB08921
CHEMBL2252949	DB11345
CHEMBL1097205	DB11288
CHEMBL684	DB00711
CHEMBL204394	DB07661
CHEMBL1234624	DB08254
CHEMBL178862	DB13853
CHEMBL270672	DB08168
CHEMBL1451173	DB13839
CHEMBL806	DB00499
CHEMBL4791762	DB05047
CHEMBL432481	DB16132
CHEMBL130	DB00446
CHEMBL1095	DB00754
CHEMBL102358	DB13297
CHEMBL30816	DB12803
CHEMBL65433	DB14075
CHEMBL1276010	DB11117
CHEMBL164660	DB18665
CHEMBL425386	DB07408
CHEMBL372832	DB07407
CHEMBL463588	DB07805
CHEMBL1201168	DB01247
CHEMBL2016757	DB15686
CHEMBL2110829	DB11556
CHEMBL713	DB00442
CHEMBL551561	DB02933
CHEMBL195660	DB07052
CHEMBL1159717	DB12248
CHEMBL371315	DB05633
CHEMBL121516	DB14174
CHEMBL3112741	DB12377
CHEMBL5314396	DB15220
CHEMBL2106561	DB13452
CHEMBL220492	DB00273
CHEMBL1236395	DB12310
CHEMBL3039602	DB16621
CHEMBL1231267	DB02619
CHEMBL563196	DB06917
CHEMBL99447	DB08397
CHEMBL468	DB01041
CHEMBL90039	DB01878
CHEMBL2338801	DB16067
CHEMBL2111081	DB12497
CHEMBL58323	DB06218
CHEMBL4650320	DB15661
CHEMBL1093	DB09009
CHEMBL4802149	DB18772
CHEMBL92567	DB04523
CHEMBL1615781	DB11179
CHEMBL496	DB00756
CHEMBL153192	DB13696
CHEMBL213758	DB07130
CHEMBL214502	DB07197
CHEMBL4297440	DB12068
CHEMBL367588	DB07032
CHEMBL579205	DB15058
CHEMBL9514	DB08313
CHEMBL77517	DB06370
CHEMBL1956285	DB12397
CHEMBL365795	DB01600
CHEMBL9298	DB16832
CHEMBL1435	DB01327
CHEMBL243024	DB06943
CHEMBL440510	DB08681
CHEMBL2106467	DB08803
CHEMBL2104282	DB09284
CHEMBL37676	DB13111
CHEMBL847	DB01096
CHEMBL4594446	DB16145
CHEMBL63055	DB02020
CHEMBL421615	DB13175
CHEMBL563168	DB08789
CHEMBL2348292	DB12629
CHEMBL435298	DB16159
CHEMBL1201039	DB00562
CHEMBL490961	DB08118
CHEMBL418971	DB06973
CHEMBL1201195	DB00274
