Purple Book Monthly Historical Data Changes Report - June 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newly Approved Products (N)  / Products Added in Current Release (R) / Updated Products (U),,,,,,,,,,,,,,,,,,,,,,,,,,,
N/R/U,Applicant,BLA Number,Proprietary Name,Proper Name,License Type,Strength,Dosage Form,Route of Administration,Product Presentation,Marketing Status,Licensure,Approval Date,Inter. Approval Date,Ref. Product Proper Name,Ref. Product Proprietary Name,Supplement Number,Submission Type,Inter. Supplement Number,License Number,Product Number,Center,Date of First Licensure,Exclusivity Expiration Date,First Interchangeable Exclusivity Exp. Date,Ref. Product Exclusivity Exp. Date,Orphan Exclusivity Exp. Date,Patent List Provided
,"Allergy Laboratories, Inc.",101380,N/A,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),"10,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,001,CBER,,,,,,
,"Allergy Laboratories, Inc.",101380,N/A,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,002,CBER,,,,,,
,"Allergy Laboratories, Inc.",101380,N/A,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),"100,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,003,CBER,,,,,,
,"Allergy Laboratories, Inc.",101380,N/A,"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,004,CBER,,,,,,
,"Allergy Laboratories, Inc.",101381,N/A,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),"10,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,001,CBER,,,,,,
,"Allergy Laboratories, Inc.",101381,N/A,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,002,CBER,,,,,,
,"Allergy Laboratories, Inc.",101381,N/A,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),"100,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,003,CBER,,,,,,
,"Allergy Laboratories, Inc.",101381,N/A,"Pollens - Grasses, Fescue, Meadow Festuca elatior",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,004,CBER,,,,,,
,"Allergy Laboratories, Inc.",101382,N/A,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),"10,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,001,CBER,,,,,,
,"Allergy Laboratories, Inc.",101382,N/A,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,002,CBER,,,,,,
,"Allergy Laboratories, Inc.",101382,N/A,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),"100,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,003,CBER,,,,,,
,"Allergy Laboratories, Inc.",101382,N/A,"Pollens - Grasses, Orchard Grass Dactylis glomerata",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,29-May-97,, ,,0,Original,,0103,004,CBER,,,,,,
,"Allergy Laboratories, Inc.",101383,N/A,"Pollens - Grasses, Redtop Agrostis alba",351(a),"10,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,001,CBER,,,,,,
,"Allergy Laboratories, Inc.",101383,N/A,"Pollens - Grasses, Redtop Agrostis alba",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,002,CBER,,,,,,
,"Allergy Laboratories, Inc.",101383,N/A,"Pollens - Grasses, Redtop Agrostis alba",351(a),"100,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,003,CBER,,,,,,
,"Allergy Laboratories, Inc.",101383,N/A,"Pollens - Grasses, Redtop Agrostis alba",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,004,CBER,,,,,,
,"Allergy Laboratories, Inc.",101384,N/A,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",351(a),"10,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,001,CBER,,,,,,
,"Allergy Laboratories, Inc.",101384,N/A,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",351(a),"10,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,002,CBER,,,,,,
,"Allergy Laboratories, Inc.",101384,N/A,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",351(a),"100,000BAU/ML",Injection,Percutaneous,Dropper Vial,Disc,Voluntarily Revoked,14-Jun-30,, ,,0,Original,,0103,003,CBER,,,,,,
,"Allergy Laboratories, Inc.",101384,N/A,"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",351(a),"100,000BAU/ML",Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,25-Jun-97,, ,,0,Original,,0103,004,CBER,,,,,,
